variant_0,variant_1,variant_2,variant_3,delta,BF_WM_freq
0.0031766200762388818,0.0043223217042297,0.0049382716049382715,0.0025391988827524917,-0.10084033613445381,-0.0006159499007085713
0.006035578144853875,0.005310280950910775,0.0040519151630262745,0.00749063670411985,-0.08539944903581265,0.0012583657878845007
0.005844980940279542,0.006112997838839148,0.006647673314339981,0.008252396368945598,-0.0821596244131455,-0.0005346754755008332
0.0052096569250317665,0.005372028403828342,0.004621715732826844,0.005395797625849044,-0.07339449541284404,0.0007503126710014987
0.013087674714104193,0.01129978388391479,0.013801836024058246,0.012886434329968895,-0.0654320987654321,-0.002502052140143457
0.0024142312579415503,0.0035196048163013277,0.0029123140234251347,0.0027931187710277406,-0.06486486486486487,0.000607290792876193
0.013024142312579416,0.01321395492435937,0.011649256093700539,0.011426394972386213,-0.06130268199233713,0.0015646988306588314
0.0036213468869123254,0.005063291139240506,0.0033554922443811332,0.0027296387989589285,-0.05957446808510647,0.0017077988948593732
0.010355781448538754,0.010435319543068849,0.009559987337765115,0.012061194693074335,-0.05646359583952454,0.0008753322053037336
0.009974587039390088,0.008088916332201298,0.011332700221589111,0.009014156033771346,-0.055829228243021334,-0.0032437838893878135
0.005273189326556544,0.004631058968817536,0.005001582779360557,0.0045705579889544845,-0.055016181229773475,-0.00037052381054302093
0.0011435832274459975,0.003704847175054029,0.008990186767964545,0.003300958547578239,-0.04779411764705882,-0.005285339592910516
0.003875476493011436,0.005680765668416178,0.0053814498258942705,0.004316638100679236,-0.04594513243894055,0.0002993158425219078
0.0042566709021601016,0.0038900895338067304,0.002595758151313707,0.003237478575509427,-0.04504504504504503,0.0012943313824930235
0.007496823379923761,0.007718431614695894,0.008167141500474834,0.00749063670411985,-0.04489795918367345,-0.0004487098857789409
0.006797966963151207,0.005866008027168879,0.005761316872427984,0.0061575572906747925,-0.041025641025641046,0.00010469115474089508
0.00590851334180432,0.005619018215498611,0.007977207977207978,0.009204595949977782,-0.04071743234738823,-0.0023581897617093667
